# Restart 2026-05-28T17:57:25+10:00 — clean parser
ts,g0_util,g1_util,g2_util,g3_util,g0_mem_mb,g1_mem_mb,g2_mem_mb,g3_mem_mb,g0_pwr_w,g1_pwr_w,g2_pwr_w,g3_pwr_w,done_flag
2026-05-28T18:05:44+10:00,99,100,0,0,91739,91799,91759,91701,289.89,286.95,246.81,262.71,
2026-05-28T18:06:03+10:00,30,98,98,99,86915,81715,81775,81655,237.51,270.61,231.19,273.81,
2026-05-28T18:06:22+10:00,14,0,0,56,90419,90379,90379,90361,139.11,132.90,129.83,152.50,
2026-05-28T18:06:41+10:00,0,14,13,0,64833,64811,64791,64753,133.65,129.51,125.92,131.49,
2026-05-28T18:07:00+10:00,0,78,39,86,89665,89665,90005,89645,212.33,224.00,182.06,226.05,
2026-05-28T18:07:19+10:00,0,0,0,0,59011,58951,59071,58953,129.18,124.67,118.97,126.98,
2026-05-28T18:07:38+10:00,89,89,88,95,91999,91879,91939,91941,498.79,493.60,492.18,502.39,
2026-05-28T18:07:57+10:00,4,2,84,40,97049,96867,96867,97009,190.90,152.26,224.53,168.89,
2026-05-28T18:08:16+10:00,82,83,71,81,91999,91879,91979,92119,452.09,479.11,434.05,476.92,
2026-05-28T18:08:35+10:00,37,7,20,0,64911,64851,64891,64951,173.78,172.45,170.88,172.62,
2026-05-28T18:08:54+10:00,0,0,0,0,99809,102859,99079,100383,157.35,146.71,150.70,149.35,
2026-05-28T18:09:13+10:00,0,14,0,2,59891,59811,59691,59833,190.52,182.41,175.02,185.34,
2026-05-28T18:09:32+10:00,17,8,17,0,78193,78273,78333,78193,325.43,337.30,306.67,345.96,
2026-05-28T18:09:51+10:00,1,0,14,14,54931,54811,54751,54871,190.57,184.35,178.77,187.64,
2026-05-28T18:10:10+10:00,13,7,8,29,88555,89935,92375,89855,317.71,308.11,281.81,310.14,
2026-05-28T18:10:29+10:00,0,0,100,100,92359,92359,92259,92381,128.70,125.11,268.79,275.70,
2026-05-28T18:10:48+10:00,0,0,100,100,92359,92359,92259,92381,126.68,123.22,275.39,282.14,
2026-05-28T18:11:07+10:00,0,0,0,0,59793,58951,58911,58951,126.46,123.80,119.07,127.75,
2026-05-28T18:11:26+10:00,86,90,81,89,92499,92379,92319,92421,355.93,372.99,339.43,377.12,
2026-05-28T18:11:45+10:00,3,6,5,3,77517,77357,76597,77119,170.01,165.12,159.82,172.22,
2026-05-28T18:12:04+10:00,15,14,14,16,94915,90555,86735,99535,198.47,190.44,178.09,192.36,
2026-05-28T18:12:23+10:00,14,14,0,0,59931,59831,59851,59691,209.90,214.45,198.76,210.60,
2026-05-28T18:12:42+10:00,91,97,97,97,77153,76933,77233,77133,297.57,273.89,300.67,274.41,
2026-05-28T18:13:01+10:00,6,11,1,0,55531,55231,55411,55371,165.73,172.44,153.63,172.52,
2026-05-28T18:13:20+10:00,4,4,5,4,108795,109235,109795,109157,181.44,152.78,139.43,156.98,
2026-05-28T18:13:39+10:00,100,62,100,100,92779,92579,92899,92861,306.27,315.08,307.04,320.29,
2026-05-28T18:13:58+10:00,89,97,95,97,88655,88535,88975,88755,316.23,337.10,317.26,331.24,
2026-05-28T18:14:17+10:00,84,87,84,90,92839,92819,92899,92821,365.39,404.82,320.97,372.14,
2026-05-28T18:14:36+10:00,29,0,20,1,65511,65491,65611,65531,149.53,146.10,139.52,144.55,
2026-05-28T18:14:55+10:00,0,0,0,0,92979,92879,92979,92881,161.70,148.45,161.58,160.19,
2026-05-28T18:15:14+10:00,3,3,0,0,135643,135423,135443,135505,145.65,142.37,137.98,160.18,
2026-05-28T18:15:33+10:00,57,0,0,0,91595,91355,91515,91437,130.73,127.90,121.68,129.77,
2026-05-28T18:15:52+10:00,0,0,0,0,60673,60271,60431,60551,127.63,124.56,118.99,127.11,
2026-05-28T18:16:11+10:00,8,1,1,0,88053,87453,87593,87453,398.14,381.88,385.10,380.24,
2026-05-28T18:16:31+10:00,0,18,18,55,60291,60451,60411,60411,215.08,204.76,202.84,204.32,
2026-05-28T18:16:50+10:00,75,94,95,91,77853,77513,77953,77713,322.79,316.41,310.72,325.08,
2026-05-28T18:17:09+10:00,0,0,0,0,54049,54069,54209,54011,127.73,124.50,119.66,127.54,
2026-05-28T18:17:28+10:00,34,92,94,65,89675,89795,90035,89675,261.05,246.48,247.59,240.22,
2026-05-28T18:17:47+10:00,36,100,37,100,92779,92639,92699,92701,305.90,385.00,288.45,382.82,
2026-05-28T18:18:06+10:00,100,100,100,100,92779,92639,92699,92701,314.31,310.43,290.57,297.84,
2026-05-28T18:18:26+10:00,100,100,0,0,93459,93319,93379,93381,278.48,275.41,187.11,186.53,
2026-05-28T18:18:44+10:00,0,0,0,0,61393,60951,61311,61093,131.14,129.14,119.39,136.24,
2026-05-28T18:19:03+10:00,0,0,0,10,91759,91679,91879,91881,147.02,144.21,141.34,143.44,
2026-05-28T18:19:23+10:00,0,0,0,0,60391,60271,60491,60513,128.46,125.72,118.98,127.17,
2026-05-28T18:19:42+10:00,5,0,12,13,90815,90955,91195,95475,188.26,200.69,186.20,179.06,
2026-05-28T18:20:01+10:00,17,18,0,16,60491,60751,60591,60851,216.86,208.15,203.16,202.96,
2026-05-28T18:20:20+10:00,12,13,0,14,77973,78373,78013,78093,208.32,198.51,202.78,188.72,
2026-05-28T18:20:39+10:00,0,0,17,11,56111,56431,56031,56491,166.26,158.25,151.48,168.68,
2026-05-28T18:20:58+10:00,0,0,0,0,121439,121319,121217,121199,150.76,142.71,138.64,140.93,
2026-05-28T18:21:22+10:00,100,98,0,0,93079,93599,93399,93721,279.83,276.16,119.07,127.49,
2026-05-28T18:21:42+10:00,21,14,17,0,61051,60891,60691,61051,201.88,178.88,186.58,178.99,
2026-05-28T18:22:01+10:00,55,75,23,19,67573,67851,67851,68013,187.77,184.07,176.08,197.59,
2026-05-28T18:22:21+10:00,17,18,0,0,60631,60731,60631,60791,224.01,215.10,196.21,207.85,
2026-05-28T18:22:40+10:00,0,0,0,0,91535,91595,91595,91517,132.16,127.61,121.99,130.03,
2026-05-28T18:23:00+10:00,4,18,17,50,60751,60571,60771,60451,212.63,203.68,195.72,201.89,
2026-05-28T18:23:19+10:00,0,0,0,38,91953,92753,92673,88773,391.12,371.07,355.66,375.16,
2026-05-28T18:23:39+10:00,100,100,0,0,93639,93619,93639,93501,282.21,276.71,118.96,127.45,
2026-05-28T18:23:59+10:00,18,24,20,0,61673,60651,60671,60631,220.81,205.82,203.71,206.79,
2026-05-28T18:24:19+10:00,12,35,37,43,86275,80633,80973,79615,371.60,276.07,279.58,283.52,
2026-05-28T18:24:39+10:00,100,100,0,0,93401,93419,93459,93463,282.41,276.91,118.92,125.59,
2026-05-28T18:24:59+10:00,9,23,10,36,61133,65271,60751,60713,220.98,204.18,201.14,211.88,
2026-05-28T18:25:19+10:00,16,13,15,16,78355,72131,72331,72053,398.89,329.04,307.21,303.32,
2026-05-28T18:25:38+10:00,100,100,0,0,93581,93299,93559,93383,280.93,276.92,119.35,126.33,
2026-05-28T18:25:58+10:00,18,6,22,40,61613,60471,60751,60613,221.11,208.62,200.84,206.85,
2026-05-28T18:26:18+10:00,3,3,1,2,92003,100761,88161,102785,132.67,127.82,122.10,129.09,
2026-05-28T18:26:38+10:00,0,0,0,0,54291,54129,54089,54133,130.51,126.04,119.44,127.36,
2026-05-28T18:26:58+10:00,0,32,36,18,89297,87555,89375,89317,383.40,379.21,370.43,370.09,
2026-05-28T18:27:18+10:00,17,0,8,17,60473,60511,60751,60393,217.27,203.25,205.76,198.11,
2026-05-28T18:27:38+10:00,12,8,11,1,82057,82095,82415,82137,202.88,209.20,196.59,187.34,
2026-05-28T18:27:57+10:00,0,0,2,0,54333,54589,54809,54533,129.85,125.52,119.63,127.74,
2026-05-28T18:28:17+10:00,6,6,11,8,65779,67077,63637,68981,131.38,127.48,121.79,129.21,
2026-05-28T18:28:37+10:00,99,100,0,0,93521,93459,93439,93563,282.13,276.88,130.77,146.65,
2026-05-28T18:28:57+10:00,0,0,0,0,60753,60571,60671,60635,129.99,125.29,118.95,126.52,
2026-05-28T18:29:16+10:00,79,88,98,98,90553,91839,94723,88217,360.05,349.58,346.37,345.49,
2026-05-28T18:29:35+10:00,0,0,0,0,93501,93519,93719,93583,227.31,209.02,118.88,125.91,
2026-05-28T18:29:55+10:00,11,18,14,16,85277,90455,90835,90677,393.02,406.30,394.59,375.06,
2026-05-28T18:30:15+10:00,53,89,66,92,92781,92759,92919,93123,214.22,219.26,206.62,216.82,
2026-05-28T18:30:34+10:00,100,100,0,0,93501,93479,93479,93623,284.53,279.47,118.73,126.64,
2026-05-28T18:30:54+10:00,7,0,74,26,61553,60491,60511,60673,220.43,195.99,191.37,205.02,
2026-05-28T18:31:13+10:00,97,96,95,87,93577,85035,86157,88357,372.89,299.44,303.01,302.97,
2026-05-28T18:31:33+10:00,18,35,37,78,55675,55593,55635,55517,133.75,128.68,121.59,128.95,
2026-05-28T18:31:52+10:00,6,4,10,1,111725,110943,116745,115825,287.75,274.62,268.47,270.69,
2026-05-28T18:32:12+10:00,62,88,84,91,93961,93679,93681,93883,333.73,369.70,300.65,360.62,
2026-05-28T18:32:31+10:00,100,100,0,0,93961,93679,93681,93883,285.02,278.90,119.22,125.45,
2026-05-28T18:32:51+10:00,15,0,0,9,62333,60931,60893,61193,205.03,178.60,184.68,181.21,
2026-05-28T18:33:10+10:00,21,14,0,0,66675,66233,66615,66395,190.45,187.04,179.79,180.03,
2026-05-28T18:33:29+10:00,0,0,100,100,93421,93539,93581,93523,130.54,125.83,274.28,280.58,
2026-05-28T18:33:49+10:00,0,0,100,100,93421,93539,93581,93523,127.98,124.18,272.15,279.81,
2026-05-28T18:34:08+10:00,6,0,44,16,60733,60733,60173,59933,200.74,197.56,185.24,197.96,
2026-05-28T18:34:28+10:00,20,60,7,87,77835,77913,73213,72253,244.45,217.98,187.42,207.50,
2026-05-28T18:34:47+10:00,0,0,0,0,54591,54651,54531,54713,128.73,125.10,119.88,128.55,
2026-05-28T18:35:07+10:00,19,32,1,21,89717,87797,89157,88177,385.54,387.56,373.19,391.06,
2026-05-28T18:35:27+10:00,0,0,0,0,93781,93641,93681,93743,130.00,125.88,157.44,158.32,
2026-05-28T18:35:47+10:00,0,5,32,31,90517,85737,90317,85917,395.58,386.99,378.49,395.73,
2026-05-28T18:36:06+10:00,7,0,47,17,56373,56293,56173,56273,142.85,138.56,135.33,141.40,
2026-05-28T18:36:26+10:00,9,9,12,14,56785,59483,54251,58865,129.83,125.75,127.17,128.60,
2026-05-28T18:36:45+10:00,0,0,100,100,93801,93821,93761,93863,258.29,264.52,267.11,261.70,
2026-05-28T18:37:05+10:00,3,0,0,0,113677,114259,118359,113997,151.01,144.42,145.72,144.13,
2026-05-28T18:37:25+10:00,86,90,73,90,93601,93841,93581,93663,356.27,353.04,328.22,386.77,
2026-05-28T18:37:45+10:00,99,100,0,0,93601,93841,93581,93663,295.90,292.40,118.58,126.67,
2026-05-28T18:38:04+10:00,17,13,32,3,60813,61033,60113,60213,222.20,210.22,194.77,208.16,
2026-05-28T18:38:23+10:00,25,26,98,100,82541,98361,54351,54733,134.60,311.80,153.38,160.11,
2026-05-28T18:38:43+10:00,0,20,0,0,94001,93821,93581,93843,254.74,238.27,118.99,125.65,
2026-05-28T18:39:03+10:00,25,0,1,32,85537,89797,89597,89737,380.80,369.48,357.81,371.06,
2026-05-28T18:39:23+10:00,39,100,37,100,92963,93083,93141,92945,336.99,419.49,334.81,410.65,
2026-05-28T18:39:43+10:00,100,100,100,100,92963,93083,93141,92945,313.77,307.77,299.48,304.34,
2026-05-28T18:40:02+10:00,100,100,95,100,93643,93763,93821,93625,294.49,284.94,271.16,285.00,
2026-05-28T18:40:22+10:00,100,100,0,0,93643,93763,93821,93625,286.52,280.45,119.33,127.57,
2026-05-28T18:40:41+10:00,14,0,0,25,61775,60695,60733,60515,221.50,204.93,198.84,202.69,
2026-05-28T18:41:01+10:00,8,3,4,3,81095,73275,72173,75715,133.25,128.96,121.55,129.18,
2026-05-28T18:41:21+10:00,0,0,0,0,60517,60475,60773,60435,130.36,125.17,119.06,127.38,
2026-05-28T18:41:41+10:00,93,97,97,35,90699,94999,94757,90319,264.24,286.27,287.16,262.69,
2026-05-28T18:42:01+10:00,0,0,0,0,54713,54773,54611,54535,129.53,125.23,119.07,127.60,
2026-05-28T18:42:21+10:00,13,10,11,100,54693,54973,54831,54735,131.83,135.28,128.72,160.00,
2026-05-28T18:42:41+10:00,100,100,100,100,93783,93663,93681,93765,278.44,274.42,267.30,275.04,
2026-05-28T18:43:00+10:00,100,100,100,100,93783,93663,93681,93765,286.77,277.25,273.45,284.11,
2026-05-28T18:43:20+10:00,17,4,18,35,61255,61055,60393,60495,218.28,204.66,199.64,203.61,
2026-05-28T18:43:40+10:00,21,0,40,92,79037,78995,72713,73115,225.53,219.71,169.79,180.99,
2026-05-28T18:43:59+10:00,32,13,6,42,61075,61155,60853,61155,204.29,210.16,193.23,212.17,
2026-05-28T18:44:18+10:00,2,2,4,3,116161,116321,116581,118143,150.50,150.27,142.72,150.19,
2026-05-28T18:44:38+10:00,13,0,26,0,56195,56375,56193,56555,196.14,187.71,183.30,178.09,
2026-05-28T18:44:58+10:00,5,12,30,76,92499,89079,88917,89679,216.42,195.66,190.86,220.32,
2026-05-28T18:45:17+10:00,0,18,6,18,60855,60875,60953,60755,208.27,208.57,201.79,201.45,
2026-05-28T18:45:36+10:00,0,5,9,3,89519,88539,87937,90259,195.83,202.33,199.34,187.52,
2026-05-28T18:45:56+10:00,0,0,0,0,54573,54633,54331,54735,129.28,125.36,119.14,127.89,
2026-05-28T18:46:15+10:00,8,7,13,12,99861,111241,102079,104063,131.09,126.82,120.98,129.65,
