step,response_length/mean,actor/entropy,actor/pg_clipfrac,actor/grad_norm,critic/score/mean
1,276.474609375,5.7762131690979,0.2673589463035265,167.3738555908203,0.1376953125
2,287.7412109375,5.787266254425049,0.18915106635540724,245.03504180908203,0.1240234375
3,296.310546875,5.840640544891357,0.23147486274441081,117.32165145874023,0.119140625
4,282.5703125,5.711820602416992,0.18576871107021967,261.5636749267578,0.142578125
5,274.458984375,5.726106643676758,0.2650055466219783,167.3314323425293,0.1376953125
6,279.662109375,5.707388401031494,0.2839126860102018,192.43909454345703,0.1298828125
7,273.4052734375,5.842522621154785,0.2947228066623211,124.95365905761719,0.140625
8,280.578125,5.302768230438232,0.18811544155081114,235.5340576171875,0.1240234375
9,270.75390625,5.263251781463623,0.29935164004564285,168.3404312133789,0.12890625
10,259.9072265625,5.044689178466797,0.1882502599619329,108.68368315696716,0.1474609375
11,266.603515625,2.325040578842163,0.003027885817573406,1.5924376845359802,0.130859375
12,275.5810546875,2.34163498878479,0.0028658586864670115,2.2880581617355347,0.1572265625
13,264.142578125,2.3325095176696777,0.004257687120116316,2.2994073629379272,0.21484375
14,270.4306640625,2.3530447483062744,0.004317273342167027,2.176804304122925,0.251953125
15,256.771484375,2.3187239170074463,0.005153008445631713,2.083862543106079,0.3515625
16,260.6220703125,2.295985698699951,0.005037437687860802,2.606151819229126,0.412109375
17,239.13671875,2.3092517852783203,0.005438162217615172,2.1813801527023315,0.51171875
18,227.9306640625,2.311455011367798,0.0050408240931574255,1.4442082047462463,0.5830078125
19,226.3447265625,2.3006842136383057,0.004662354112952016,4.022416114807129,0.611328125
20,207.5400390625,2.3049943447113037,0.17693251984019298,2.4167988300323486,0.6142578125
21,197.0693359375,2.269447088241577,0.0037033200787846,1.2224911451339722,0.6259765625
22,199.16796875,2.403583526611328,0.003787336827372201,4.431192457675934,0.580078125
23,187.6796875,2.3594534397125244,0.0044305165647529066,1.3709803819656372,0.6240234375
24,167.333984375,2.254481554031372,0.0041264749015681446,1.5467489957809448,0.6396484375
25,171.984375,2.318500518798828,0.004148080115555786,1.4804028272628784,0.615234375
26,192.34765625,2.334592819213867,0.004121475431020372,5.464273810386658,0.5595703125
27,160.607421875,2.335533380508423,0.00423840104485862,1.4389452934265137,0.6123046875
28,156.74609375,2.22627592086792,0.00437337945913896,2.0242635011672974,0.64453125
29,161.955078125,2.322585344314575,0.0041217243851860985,2.2129287719726562,0.6064453125
30,163.7158203125,2.265171766281128,0.14304099092260003,3.0450704097747803,0.611328125
31,160.802734375,1.986167311668396,0.005586459665209986,3.927337408065796,0.65234375
32,159.544921875,1.973919153213501,0.005688778794137761,3.7083672285079956,0.6533203125
33,156.677734375,1.928907871246338,0.006093411648180336,7.160075902938843,0.6337890625
34,165.45703125,1.926705241203308,0.008094937191344798,6.718498587608337,0.6396484375
35,188.84765625,1.9583557844161987,0.008965164874098264,4.046931743621826,0.640625
36,169.9833984375,1.8732764720916748,0.009112386673223227,4.652577042579651,0.6533203125
37,212.0341796875,1.90669584274292,0.008697388810105622,8.49547266960144,0.6865234375
38,212.52734375,1.7873679399490356,0.01355995106860064,8.358991146087646,0.681640625
39,235.3623046875,1.7592055797576904,0.015432442363817245,8.314055442810059,0.6591796875
40,243.953125,1.8142367601394653,0.1463982378190849,11.560118913650513,0.6357421875
41,232.09765625,1.3458058834075928,0.045638998970389366,16.133713006973267,0.677734375
42,224.673828125,1.3906888961791992,0.05137764074606821,15.697632551193237,0.62890625
43,210.51171875,1.3121540546417236,0.05366047139978036,14.090455532073975,0.65234375
44,157.87109375,1.2769051790237427,0.024985967465909198,7.649663805961609,0.6650390625
45,162.126953125,1.2971683740615845,0.04872699693078175,12.18184232711792,0.6435546875
46,139.6640625,1.242153525352478,0.016757432225858793,4.358705997467041,0.6796875
47,142.546875,1.243814468383789,0.014781246369238943,3.5932120084762573,0.708984375
48,147.8515625,1.2234162092208862,0.014668923686258495,3.2472727298736572,0.6826171875
49,156.0625,1.1995829343795776,0.02758658630773425,12.155970573425293,0.634765625
50,148.7626953125,1.1842741966247559,0.1129057866637595,6.986537218093872,0.6748046875
51,145.291015625,1.117179036140442,0.03497094800695777,9.77892255783081,0.669921875
52,154.9453125,1.0808446407318115,0.029764658538624644,6.1686530113220215,0.6357421875
53,150.9423828125,1.0521320104599,0.027686346438713372,8.069722175598145,0.6220703125
54,170.6552734375,1.0501054525375366,0.05360826896503568,9.249307632446289,0.5439453125
55,158.6884765625,1.0377997159957886,0.02828411152586341,5.3033607006073,0.5361328125
56,152.755859375,1.0346261262893677,0.04080498206894845,7.978614330291748,0.5244140625
57,166.6318359375,1.0091787576675415,0.05278493755031377,7.218822240829468,0.4765625
58,165.60546875,1.025651454925537,0.051908097229897976,4.213995695114136,0.5126953125
