run,cadence,delay_K,rows,first_q_update_global_step,first_q_update_optimizer_tick_seen,final_anchor_q_updates,final_fast_powersgd_basis_updates,pre_update_rows,pre_update_q_error_mean,pre_update_q_error_min,pre_update_q_error_max,post_update_q_error_mean,post_update_q_error_min,post_update_q_error_max,final_q_error,final_q_cond,pre_update_coldM_fallbacks_last,post_update_coldM_fallbacks_first
K=20 cadence/delay (fxo8chsv),20,20,99,10,20,10,0,9,0.9750456802367555,0.9746121647318594,0.9752989656019307,0.03416316067549983,0.029205830051445558,0.05535954790043331,0.05535954790043331,1.0000002895083202,196,0
K=5 cadence/delay (rsvo7y1p),5,5,50,3,6,20,0,2,0.9752389325153127,0.9751447064603534,0.9753331585702719,0.03386499589552849,0.031146638637161998,0.04236175189128509,0.03346918593981631,1.0000002980232752,196,0
