step,dense,a0p5,exp27,ef_r2,plain
10,820.0,1080.0,905.0,817.0,680.0
20,916.0,737.0,943.0,1002.0,808.0
30,739.0,508.0,608.0,831.0,1217.0
40,863.0,704.0,1035.0,601.0,639.0
50,,5806.0,594.0,,
55,,,866.0,,
60,,,597.0,,
64,,,16384.0,,
65,,,16384.0,,
66,,,16384.0,,
67,,,16384.0,,
