step,dense,a0p5,exp27,ef_r2,plain
10,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
50,,0.0,0.0,,
55,,,0.0,,
60,,,0.0,,
64,,,0.01171875,,
65,,,0.015625,,
66,,,0.021484375,,
67,,,0.01953125,,
