step,entropy,len_mean,len_max,clip_ratio,score,grad_norm,pg_loss,ppo_kl,rel_change
1,5.69868803024292,276.548828125,1312,0,0.1357421875,353.75107192993164,0.1057387428650145,0.06383942339653004,0
2,5.705639839172363,287.162109375,1078,0,0.125,593.4523773193359,0.09941125961267971,0.07792019541329864,0
3,5.877685546875,286.7626953125,895,0,0.1103515625,0.6974180936813354,0.3347576610458418,-7.147254381328821,0.09164096701091953
4,3.4149398803710938,280.8486328125,1053,0,0.1630859375,1.9890719056129456,0.02168341934657292,0.004892543276127981,0.06575372396036983
5,3.4009487628936768,273.69140625,1650,0,0.1455078125,1.3185345530509949,0.1467505423424882,-1.0339136875700206,0.15204220529341575
6,2.504340410232544,277.703125,915,0,0.1640625,1.2929860353469849,0.03012528432191175,0.0032741388083792344,0.19124284137648587
7,2.4872822761535645,272.1845703125,980,0,0.197265625,1.314767837524414,0.02066225000544364,0.003757241479563689,0.22162499301591698
8,2.4548733234405518,276.818359375,800,0,0.201171875,3.0389511585235596,0.15950972948485287,-0.21127183009088668,0.15539143205981473
9,2.0692503452301025,267.6650390625,1327,0,0.240234375,1.4461877942085266,0.033172144099808065,0.004689314580900827,0.28466509839481846
10,2.035780668258667,245.923828125,764,0,0.3359375,3.1631844639778137,0.08738665953615055,-0.0033112617883830353,0.17309178751703275
11,1.901964783668518,248.7265625,1796,0,0.349609375,2.3452091813087463,0.029564609588305757,0.00723269412758043,0.2544001363769022
12,1.9194599390029907,259.4970703125,5782,0,0.4130859375,1.433831512928009,0.017065076317521743,0.011284976239437583,0.5005987606258416
13,1.8682756423950195,245.826171875,892,0,0.5029296875,4.751584768295288,0.17648796664980182,0.00571033858529546,0.23523889535239764
14,1.7939205169677734,245.49609375,924,0,0.4853515625,2.562893509864807,0.015340921409006114,0.01320273745477607,0.41808747867008256
15,1.7035353183746338,226.3427734375,956,0,0.4951171875,3.066599130630493,0.07203286954518262,0.04307811660873995,0.2718514677194156
16,1.530285358428955,230.794921875,957,0,0.529296875,2.4119776487350464,-0.005177233454560337,0.015166876738931023,0.35345470670572654
17,1.5108284950256348,210.6064453125,1092,0,0.5205078125,2.143931806087494,0.006374142094500712,0.011616901785799882,0.4474561490422609
18,1.4703654050827026,196.568359375,556,0,0.634765625,3.9113826751708984,0.13103086514274764,-0.03634774856092715,0.4092450283695849
19,1.3277288675308228,188.029296875,835,0,0.6337890625,1.9684295654296875,-0.01815909588640352,0.014225995779895584,0.49282707908779994
20,1.2998919486999512,172.6220703125,814,0,0.6494140625,3.3830713033676147,0.029992059791766223,0.11826041144684041,0.280497680798325
21,1.2096360921859741,168.78125,779,0,0.6337890625,4.85638964176178,-0.038840994910060544,0.02347188527932076,0.18959610238291172
22,1.1934304237365723,165.41796875,668,0,0.6015625,4.423169136047363,-0.04531829227698836,0.016103353755511307,0.21229366732913316
23,1.1683828830718994,163.267578125,998,0,0.6171875,7.328199148178101,0.09974094473818695,-0.13906142598965232,0.17779460096997873
24,1.1345012187957764,151.232421875,809,0,0.6572265625,7.284253358840942,-0.020465774718104512,0.03503487782074899,0.1665000035142412
25,1.1159507036209106,158.24609375,752,0,0.6259765625,5.358117461204529,0.07193588129575801,-0.01056663774401656,0.21109148487448692
26,1.0388691425323486,176.8251953125,1242,0,0.583984375,8.894467830657959,-0.003188801089891058,0.04691658181309322,0.13328261350338555
27,1.0107357501983643,150.3779296875,1054,0,0.646484375,5.241839408874512,-0.0011200149692740524,0.034630925529540946,0.1861741920857101
28,0.9906771183013916,154.1318359375,675,0,0.6728515625,6.7684221267700195,0.14220654771634145,0.1164893752831695,0.2614104331955694
29,0.8337080478668213,165.0556640625,13347,0,0.6455078125,11.830125093460083,-0.04241631892364239,0.05420114361686501,0.05884130721037485
30,0.8092470169067383,164.8935546875,16384,0.0009765625,0.6875,6.607331991195679,0.2263478541135555,0.447909095477371,0.43975866964200927
31,0.7008224129676819,161.6513671875,16384,0.0009765625,0.728515625,22.89695167541504,-0.07325225132808555,0.12340475265591522,0.04819492490639036
32,0.6540179252624512,162.9375,16384,0.0009765625,0.7470703125,22.945995807647705,0.10358363648992963,0.12303403258738399,0.055646039950613846
33,0.6388857960700989,160.056640625,16384,0.0009765625,0.6875,6.195197343826294,0.2911249834141927,-1.3488042231692816,0.1818467407553856
34,0.6832621097564697,160.166015625,16384,0.0009765625,0.7294921875,10.03540849685669,0.07114099958562292,0.12397832021270005,0.10833085292228023
35,0.5774696469306946,177.4228515625,16384,0.001953125,0.734375,8.896965026855469,0.020235321266227402,0.29388332880466805,0.5797624939634484
36,0.5841105580329895,157.564453125,16384,0.0009765625,0.7412109375,12.807042360305786,-0.08502077709272271,0.18193876076475135,0.07310536799106594
37,0.5795299410820007,143.806640625,1013,0,0.783203125,9.715266227722168,0.02840440470026806,0.05268323078996673,0.13276806036580582
38,0.46281638741493225,202.99609375,16384,0.0029296875,0.7353515625,7.2626142501831055,0.4750252892335993,-0.6740627999596427,0.2691441045750921
39,0.49641045928001404,222.3017578125,16384,0.0048828125,0.7412109375,33.4425573348999,0.06529918358864961,0.1772563708236703,0.021907093912144477
40,0.447479784488678,213.5244140625,16384,0.00390625,0.7255859375,9.734546184539795,0.12935225546789297,2.9348829443915747,0.9196979636136366
41,0.16267432272434235,301.06640625,16384,0.0087890625,0.767578125,24.491232872009277,0.2591208463854855,0.1377441053144821,0.05035627372705435
42,0.13264581561088562,328.0361328125,16384,0.0087890625,0.7412109375,23.7968430519104,-0.005548473709495738,-0.07053575397867107,0.02724393044256282
