step,dense,a0p5,exp27,ef_r2,plain
10,0.7373046875,0.4072265625,0.2666015625,0.3564453125,0.16015625
20,0.7763671875,0.6943359375,0.6142578125,0.669921875,0.26953125
30,0.78125,0.7197265625,0.70703125,0.69921875,0.4541015625
40,0.8125,0.78125,0.7333984375,0.7001953125,0.57421875
50,0.8583984375,0.814453125,0.7763671875,0.7861328125,0.673828125
55,,,0.7724609375,,
60,,,0.7802734375,,
64,,,0.765625,,
65,,,0.748046875,,
66,,,0.8017578125,,
67,,,0.759765625,,
